"Leistungs_ID","Leistungsname","Kategorie","Kosten_EUR","Dauer_Stunden","Behandlungsart","Nachsorge_erforderlich","Qualitaetsstufe","Komplexitaet","Narkose_erforderlich","Nachsorge_Tage"
"L00046","Hornhauttransplantation","Augenheilkunde","24060","1","Stationaer","Nein","Luxus","Niedrig","Nein","3"
"L00047","Makuladegeneration-Behandlung","Augenheilkunde","21145","2","Tagesklinik","Ja","Luxus","Hoch","Nein","18"
"L00048","Schielen-Korrektur","Augenheilkunde","12360","7","Stationaer","Ja","Standard","Hoch","Nein","20"
"L00049","Augenlid-Operation","Augenheilkunde","21399","8","Ambulant","Nein","Luxus","Hoch","Ja","8"
"L00050","Traenenkanal-Operation","Augenheilkunde","16531","3","Tagesklinik","Nein","Premium","Niedrig","Nein","1"
"L00051","Blutbild komplett","Labordiagnostik","121","1","Stationaer","Ja","Premium","Mittel","Ja","7"
"L00052","Leberwerte","Labordiagnostik","397","2","Stationaer","Ja","Luxus","Mittel","Nein","8"
"L00053","Nierenwerte","Labordiagnostik","132","3","Ambulant","Nein","Standard","Niedrig","Ja","9"
"L00054","Schilddruesenwerte","Labordiagnostik","600","1","Stationaer","Nein","Luxus","Mittel","Nein","15"
"L00055","Tumormarker","Labordiagnostik","728","1","Tagesklinik","Nein","Standard","Hoch","Nein","15"
"L00056","Hormonanalyse","Labordiagnostik","391","2","Tagesklinik","Ja","Premium","Mittel","Ja","10"
"L00057","Vitaminanalyse","Labordiagnostik","276","2","Tagesklinik","Nein","Premium","Niedrig","Ja","9"
"L00058","Allergie-Test","Labordiagnostik","519","3","Ambulant","Ja","Luxus","Niedrig","Ja","4"
"L00059","Genetische Untersuchung","Labordiagnostik","390","1","Stationaer","Nein","Standard","Mittel","Ja","19"
"L00060","Mikrobiologie-Untersuchung","Labordiagnostik","226","1","Ambulant","Ja","Luxus","Niedrig","Nein","11"
"L00061","MRT Wirbelsaeule","Radiologie","97","1","Ambulant","Nein","Luxus","Hoch","Nein","8"
"L00062","MRT Gelenke","Radiologie","483","1","Stationaer","Ja","Luxus","Hoch","Nein","13"
"L00063","CT Thorax","Radiologie","80","2","Tagesklinik","Ja","Standard","Mittel","Ja","12"
"L00064","CT Abdomen","Radiologie","583","3","Stationaer","Ja","Standard","Hoch","Ja","26"
"L00065","Mammographie","Radiologie","425","1","Tagesklinik","Nein","Standard","Niedrig","Nein","3"
"L00066","Ultraschall Abdomen","Radiologie","663","2","Tagesklinik","Ja","Luxus","Hoch","Ja","25"
"L00067","Roentgen Thorax","Radiologie","680","3","Ambulant","Ja","Luxus","Niedrig","Nein","25"
"L00068","Angiographie","Radiologie","630","2","Ambulant","Ja","Premium","Niedrig","Ja","7"
"L00069","PET-CT","Radiologie","675","1","Stationaer","Nein","Premium","Mittel","Nein","28"
"L00070","Szintigraphie","Radiologie","151","2","Tagesklinik","Ja","Premium","Mittel","Ja","22"
"L00071","Knochendichtemessung","Radiologie","468","1","Tagesklinik","Nein","Premium","Mittel","Nein","12"
"L00072","Gastroskopie","Gastroenterologie","8302","1","Ambulant","Nein","Premium","Niedrig","Nein","6"
"L00073","Koloskopie","Gastroenterologie","3104","2","Ambulant","Ja","Luxus","Niedrig","Nein","27"
"L00074","ERCP","Gastroenterologie","17449","8","Stationaer","Ja","Premium","Mittel","Ja","16"
"L00075","Leberbiopsie","Gastroenterologie","13921","6","Stationaer","Nein","Premium","Mittel","Ja","23"
"L00076","Magenoperation","Gastroenterologie","3136","5","Ambulant","Ja","Premium","Mittel","Nein","6"
"L00077","Darmoperation","Gastroenterologie","21098","1","Stationaer","Ja","Premium","Hoch","Nein","4"
"L00078","Gallenblasen-Operation","Gastroenterologie","1445","6","Ambulant","Ja","Premium","Hoch","Nein","11"
"L00079","Reflux-Operation","Gastroenterologie","10541","7","Ambulant","Ja","Premium","Hoch","Ja","30"
"L00080","Polypen-Entfernung","Gastroenterologie","12687","2","Ambulant","Ja","Premium","Hoch","Ja","28"
